ds,yhat,yhat_lower,yhat_upper
1970-01-01 00:00:00.000043831,129354.22499999999,-39235.73536572156,316802.72942516935
1970-01-01 00:00:00.000043832,129564.64407534245,-54937.267389746936,312357.27180585143
1970-01-01 00:00:00.000043833,129775.06315068493,-49603.93511223707,315470.6508893688
1970-01-01 00:00:00.000043834,129985.4822260274,-37018.34784206573,293366.6836951957
1970-01-01 00:00:00.000043835,130195.90130136986,-59858.850545494155,312127.5493970135
1970-01-01 00:00:00.000043836,130406.32037671233,-55849.49531809385,313591.9069092122
1970-01-01 00:00:00.000043837,130616.7394520548,-42163.84871547297,308657.734410714
1970-01-01 00:00:00.000043838,130827.15852739725,-45563.456981462085,308881.83832409786
1970-01-01 00:00:00.000043839,131037.57760273971,-33528.646901827866,312556.0257635406
1970-01-01 00:00:00.000043840,131247.99667808219,-51825.15837492772,305925.152895357
1970-01-01 00:00:00.000043841,131458.41575342463,-53690.11761942072,315603.0685962742
1970-01-01 00:00:00.000043842,131668.8348287671,-49188.91453594255,323250.49164270016
1970-01-01 00:00:00.000043843,131879.2539041096,-54550.92251905035,318593.39520245953
1970-01-01 00:00:00.000043844,132089.67297945204,-47702.46046645201,317122.776104668
1970-01-01 00:00:00.000043845,132300.0920547945,-41795.06900747283,307755.4333578385
1970-01-01 00:00:00.000043846,132510.511130137,-47151.181842984006,303224.0320878471
1970-01-01 00:00:00.000043847,132720.93020547944,-58136.11985910471,307183.0708682344
1970-01-01 00:00:00.000043848,132931.34928082192,-44956.99929126918,321866.7179581909
1970-01-01 00:00:00.000043849,133141.7683561644,-30288.163606724436,300874.0048421519
1970-01-01 00:00:00.000043850,133352.18743150684,-45584.75259796427,305675.1830092942
1970-01-01 00:00:00.000043851,133562.6065068493,-59157.30209153205,309365.0269634914
1970-01-01 00:00:00.000043852,133773.02558219177,-41262.17728165337,318010.7157459216
1970-01-01 00:00:00.000043853,133983.44465753424,-33804.964085342115,312610.97591993574
1970-01-01 00:00:00.000043854,134193.8637328767,-50042.00046214882,319079.87081790564
1970-01-01 00:00:00.000043855,134404.28280821917,-40486.210856470985,311427.88777038374
1970-01-01 00:00:00.000043856,134614.70188356165,-45800.068620505335,309436.92477257637
1970-01-01 00:00:00.000043857,134825.1209589041,-35356.69916800802,313869.2663135685
1970-01-01 00:00:00.000043858,135035.54003424657,-57599.62605866576,299117.64193801326
1970-01-01 00:00:00.000043859,135245.95910958905,-41340.50319778226,312280.2302314092
1970-01-01 00:00:00.000043860,135456.3781849315,-44904.56171281419,311604.7250897476
1970-01-01 00:00:00.000043861,135666.79726027398,-39762.56790881733,319436.80861710734
1970-01-01 00:00:00.000043862,135877.21633561642,-32714.574170659293,308902.41243327275
1970-01-01 00:00:00.000043863,136087.63541095887,-53750.513911733986,319142.61989340326
1970-01-01 00:00:00.000043864,136298.05448630135,-46335.26212800984,302235.1390416132
1970-01-01 00:00:00.000043865,136508.47356164383,-40420.976972379125,325377.1388962208
1970-01-01 00:00:00.000043866,136718.89263698627,-54465.218920027786,319988.0654741054
1970-01-01 00:00:00.000043867,136929.31171232875,-31152.801710829313,317864.56723049
1970-01-01 00:00:00.000043868,137139.73078767123,-49326.53124317544,296870.6888794114
1970-01-01 00:00:00.000043869,137350.14986301368,-52582.660196258395,305872.0237854155
1970-01-01 00:00:00.000043870,137560.56893835615,-42933.27867655732,311172.85921835987
1970-01-01 00:00:00.000043871,137770.98801369863,-47717.26870925112,304132.4227480778
1970-01-01 00:00:00.000043872,137981.40708904108,-50244.81872347099,305658.40909526736
1970-01-01 00:00:00.000043873,138191.82616438356,-37329.010056408646,314451.90319413145
1970-01-01 00:00:00.000043874,138402.24523972603,-47685.48664332969,318521.5295964987
1970-01-01 00:00:00.000043875,138612.66431506848,-29519.711462495023,319519.9114338295
1970-01-01 00:00:00.000043876,138823.08339041093,-41830.56107342994,315659.6334790774
1970-01-01 00:00:00.000043877,139033.5024657534,-46548.50559552563,310862.2616540045
1970-01-01 00:00:00.000043878,139243.9215410959,-39926.77957035611,314381.5371880342
1970-01-01 00:00:00.000043879,139454.34061643833,-43761.72495811001,314180.75186581665
1970-01-01 00:00:00.000043880,139664.7596917808,-18459.039042098677,307113.9355147989
1970-01-01 00:00:00.000043881,139875.1787671233,-36045.56515869104,320566.31834481197
1970-01-01 00:00:00.000043882,140085.59784246574,-24456.977973662415,305524.3016171784
1970-01-01 00:00:00.000043883,140296.0169178082,-23719.549380318866,315890.1633222623
1970-01-01 00:00:00.000043884,140506.4359931507,-43986.14308939074,325894.8633083126
1970-01-01 00:00:00.000043885,140716.85506849314,-36026.394742217024,328376.38843900536
1970-01-01 00:00:00.000043886,140927.27414383562,-26432.354893634718,327946.66358325206
1970-01-01 00:00:00.000043887,141137.6932191781,-38614.37300251489,328644.5981833978
1970-01-01 00:00:00.000043888,141348.1122945205,-38404.165714678835,298681.592906586
1970-01-01 00:00:00.000043889,141558.531369863,-37082.45718372218,315667.39289888256
1970-01-01 00:00:00.000043891,141979.36952054792,-35591.33623193617,318263.48158570117
1970-01-01 00:00:00.000043892,142189.7885958904,-22844.685047346946,324824.9130709886
1970-01-01 00:00:00.000043893,142400.20767123287,-15401.09517325064,321413.6977427162
1970-01-01 00:00:00.000043894,142610.62674657532,-41403.46658412509,317475.85717120866
1970-01-01 00:00:00.000043895,142821.0458219178,-41132.839808382894,320596.2280664462
1970-01-01 00:00:00.000043896,143031.46489726027,-45341.236117563356,323355.93542813923
1970-01-01 00:00:00.000043897,143241.88397260272,-25743.101197224147,320071.2232958526
1970-01-01 00:00:00.000043898,143452.3030479452,-24844.131004819083,327565.71040555363
1970-01-01 00:00:00.000043899,143662.72212328768,-21228.80617896884,312422.31409774255
1970-01-01 00:00:00.000043900,143873.14098548857,-28680.651687178786,325689.5176185762
1970-01-01 00:00:00.000043901,144083.55984768947,-28886.589061568495,312162.6306746248
1970-01-01 00:00:00.000043902,144293.97870989036,-37071.564422906486,323806.58223978715
1970-01-01 00:00:00.000043903,144504.39757209123,-30590.983246704076,324214.53409437434
1970-01-01 00:00:00.000043904,144714.81643429212,-46690.64936904559,315878.773832047
1970-01-01 00:00:00.000043905,144925.23529649302,-37997.435251282586,322188.69135447976
1970-01-01 00:00:00.000043906,145135.6541586939,-23420.967411205293,327407.77380851004
1970-01-01 00:00:00.000043907,145346.0730208948,-39441.86619910408,321198.62915798795
1970-01-01 00:00:00.000043908,145556.4918830957,-25967.90762712378,330190.5296388755
1970-01-01 00:00:00.000043909,145766.91074529657,-37915.71007709601,328178.06203624164
1970-01-01 00:00:00.000043910,145977.32960749746,-30662.91980153824,319554.35746458976
1970-01-01 00:00:00.000043911,146187.74846969836,-35293.773375810386,329903.78175149026
1970-01-01 00:00:00.000043912,146398.16733189925,-20652.8733183641,333407.8428134418
1970-01-01 00:00:00.000043913,146608.58619410015,-48209.30661398568,316498.4512378641
1970-01-01 00:00:00.000043914,146819.00505630102,-34355.55887778162,313110.27182392264
1970-01-01 00:00:00.000043915,147029.4239185019,-25719.78416753121,329394.64938934025
1970-01-01 00:00:00.000043916,147239.8427807028,-20323.545812945616,323470.82314901036
1970-01-01 00:00:00.000043917,147450.2616429037,-44566.25512492182,324030.4060692669
1970-01-01 00:00:00.000043918,147660.6805051046,-28137.961293898847,323524.00657352176
1970-01-01 00:00:00.000043919,147871.0993673055,-34605.61135792569,326966.70227934705
1970-01-01 00:00:00.000043920,148081.51822950636,-30973.456838221053,322213.819908741
1970-01-01 00:00:00.000043921,148291.93709170725,-31016.395902422366,323831.25830092694
1970-01-01 00:00:00.000043922,148502.35595390815,-32927.83589740904,314071.61141624086
1970-01-01 00:00:00.000043923,148712.77481610904,-32169.675855211884,334816.88028898183
1970-01-01 00:00:00.000043924,148923.19367830994,-18835.69079901644,331810.38704459456
1970-01-01 00:00:00.000043925,149133.61254051083,-34584.44224605926,318955.87381278275
1970-01-01 00:00:00.000043926,149344.0314027117,-26283.76601697744,329548.36941432883
1970-01-01 00:00:00.000043927,149554.4502649126,-25564.96953669202,337707.78060386993
1970-01-01 00:00:00.000043928,149764.8691271135,-28691.70677154859,332237.95374295296
1970-01-01 00:00:00.000043929,149975.28798931438,-32466.185051753,325972.1793745253
1970-01-01 00:00:00.000043930,150185.70685151528,-30267.66833049775,330001.5325593963
1970-01-01 00:00:00.000043931,150396.12571371614,-27131.737614060257,326977.95879212534
1970-01-01 00:00:00.000043932,150606.54457591704,-24362.621035687946,318179.16359783197
1970-01-01 00:00:00.000043933,150816.96343811793,-34107.31688709213,330653.4611986917
1970-01-01 00:00:00.000043934,151027.38230031883,-36677.00913755686,327237.6370524273
1970-01-01 00:00:00.000043935,151237.80116251973,-34178.345282993185,327404.43172288034
1970-01-01 00:00:00.000043936,151448.2200247206,-19687.515692593555,333595.30878303654
1970-01-01 00:00:00.000043937,151658.6388869215,-39562.546444673986,325118.96728064294
1970-01-01 00:00:00.000043938,151869.05774912238,-26372.722501673867,325742.22131458536
1970-01-01 00:00:00.000043939,152079.47661132328,-20432.70728147303,340398.4049781419
1970-01-01 00:00:00.000043940,152289.89547352417,-30001.228885286597,312439.9062636894
1970-01-01 00:00:00.000043941,152500.31433572507,-13715.698019300811,324600.5859446379
1970-01-01 00:00:00.000043942,152710.73319792596,-23591.52756929055,334102.695215084
1970-01-01 00:00:00.000043943,152921.15206012683,-29855.435963185315,320879.6920005811
1970-01-01 00:00:00.000043944,153131.57092232772,-23073.439342677873,329758.19646751817
1970-01-01 00:00:00.000043945,153341.98978452862,-41891.6837512103,329705.63793630357
1970-01-01 00:00:00.000043946,153552.4086467295,-20382.116399439215,328158.51224784536
1970-01-01 00:00:00.000043947,153762.8275089304,-11772.248078432342,324762.8697231961
1970-01-01 00:00:00.000043948,153973.2463711313,-16928.957276275334,340309.0584055647
1970-01-01 00:00:00.000043949,154183.6652333322,-33305.57448082573,341615.98249515746
1970-01-01 00:00:00.000043950,154394.0840955331,-51800.706157580425,325529.1096166121
1970-01-01 00:00:00.000043951,154604.502957734,-32768.45829971655,330978.3982296556
1970-01-01 00:00:00.000043952,154814.92181993485,-13035.124020059107,340318.3526420742
1970-01-01 00:00:00.000043953,155025.34068213575,-27838.1860404954,338144.18180863216
1970-01-01 00:00:00.000043954,155235.75954433664,-26820.186324169328,320617.6087443536
1970-01-01 00:00:00.000043955,155446.17840653754,-24467.45597197,345340.7315508623
1970-01-01 00:00:00.000043956,155656.59726873843,-42782.347269460144,335718.06632436736
1970-01-01 00:00:00.000043957,155867.01613093933,-9183.001312681394,331764.40421560453
1970-01-01 00:00:00.000043958,156077.43499314022,-22308.51382489475,329838.35673718556
1970-01-01 00:00:00.000043959,156287.85385534112,-14189.975615842288,333575.69618287426
1970-01-01 00:00:00.000043960,156498.272717542,-22656.687590052334,332030.9438824878
1970-01-01 00:00:00.000043961,156708.69157974288,-35075.06909139663,335874.55939439835
1970-01-01 00:00:00.000043962,156919.11044194378,-19736.10824849321,342178.09536021843
1970-01-01 00:00:00.000043963,157129.52930414467,-20730.140825570033,338888.10725456936
1970-01-01 00:00:00.000043964,157339.94816634557,-16608.010880336056,345378.87737920997
1970-01-01 00:00:00.000043965,157550.36702854643,-9186.491439467556,345769.7550999686
1970-01-01 00:00:00.000043966,157760.78589074733,-21816.45006892348,336060.3388910257
1970-01-01 00:00:00.000043967,157971.20475294822,-15961.093504084358,352293.8954945217
1970-01-01 00:00:00.000043968,158181.62361514912,-14601.07217474888,327820.5685349944
1970-01-01 00:00:00.000043969,158392.04247735,-27886.64750360623,327346.8936825813
1970-01-01 00:00:00.000043970,158602.46133955088,-33782.75938331463,331260.87876280025
1970-01-01 00:00:00.000043971,158812.8802017518,-29753.532288727565,341608.33607112867
1970-01-01 00:00:00.000043972,159023.29906395267,-38044.20656057386,326440.61483050196
1970-01-01 00:00:00.000043973,159233.71792615356,-9479.342425274694,328356.8130965997
1970-01-01 00:00:00.000043974,159444.13678835446,-26610.863364094886,321787.5934910495
1970-01-01 00:00:00.000043975,159654.55565055535,-16058.292394796186,339471.47646950907
1970-01-01 00:00:00.000043976,159864.97451275625,-19410.974612638343,350733.4993418692
1970-01-01 00:00:00.000043977,160075.39337495712,-19091.170922929745,334675.7427628511
1970-01-01 00:00:00.000043978,160285.812237158,-13855.54585511525,330910.4558667742
1970-01-01 00:00:00.000043979,160496.2310993589,-17351.499817698164,343653.856551099
1970-01-01 00:00:00.000043980,160706.6499615598,-22485.669742293092,333249.93513818
1970-01-01 00:00:00.000043981,160917.0688237607,-12774.188939636702,360038.2085308468
1970-01-01 00:00:00.000043982,160726.19186404377,-21118.757518163853,346272.1737492249
1970-01-01 00:00:00.000043983,160535.31490432683,-18309.035666548487,347984.8828834623
1970-01-01 00:00:00.000043984,160344.43794460993,-23865.497760771308,344237.9696969601
1970-01-01 00:00:00.000043985,160153.560984893,-4137.857194655932,345710.4122981797
1970-01-01 00:00:00.000043986,159962.6840251761,-9992.058657685755,349687.2761940462
1970-01-01 00:00:00.000043987,159771.80706545917,-12109.733292911522,334460.6622091297
1970-01-01 00:00:00.000043988,159580.93010574224,-10149.943055667318,349820.7091817159
1970-01-01 00:00:00.000043989,159390.05314602534,-23334.44129570391,339178.85408760986
1970-01-01 00:00:00.000043990,159199.17618630844,-28658.234442868696,327616.18415710086
1970-01-01 00:00:00.000043991,159008.2992265915,-15367.752561689613,329375.3551802164
1970-01-01 00:00:00.000043992,158817.42226687458,-33540.738844418156,336395.00494783686
1970-01-01 00:00:00.000043993,158626.54530715765,-8519.8108385549,342266.27973971365
1970-01-01 00:00:00.000043994,158435.66834744075,-18848.225666444367,337896.2987392798
1970-01-01 00:00:00.000043995,158244.79138772382,-24855.876488944985,336776.6487094395
1970-01-01 00:00:00.000043996,158053.91442800692,-32404.618429089005,348048.93269668653
1970-01-01 00:00:00.000043997,157863.03746829,-4137.319215051977,335010.2565323527
1970-01-01 00:00:00.000043998,157672.16050857308,-34376.678226580945,328303.1206050351
1970-01-01 00:00:00.000043999,157481.28354885615,-8274.252522171075,326208.4701245862
1970-01-01 00:00:00.000044000,157290.40658913922,-17859.76832745883,337457.7042502108
1970-01-01 00:00:00.000044001,157099.52962942232,-25990.50877031244,330135.27468737075
1970-01-01 00:00:00.000044002,156908.6526697054,-22025.29708004578,344251.14943257597
1970-01-01 00:00:00.000044003,156717.7757099885,-23590.88893407869,325301.3314450329
1970-01-01 00:00:00.000044004,156526.89875027156,-25157.309988729758,327751.4601285602
1970-01-01 00:00:00.000044005,156336.02179055466,-12042.188257560203,317934.8139103986
1970-01-01 00:00:00.000044006,156145.14483083773,-12321.872590606372,346693.16215620993
1970-01-01 00:00:00.000044007,155954.26787112083,-22410.802242925856,330551.00107448944
1970-01-01 00:00:00.000044008,155763.3909114039,-15385.816546531565,333441.73107836396
1970-01-01 00:00:00.000044009,155572.51395168697,-19169.385391597498,332473.61789056193
1970-01-01 00:00:00.000044010,155381.63699197007,-13309.193260726883,337098.2508966317
1970-01-01 00:00:00.000044011,155190.76003225314,-26861.608431288416,326354.2143930423
1970-01-01 00:00:00.000044012,154999.88307253623,-14765.71415366269,323165.03433100897
1970-01-01 00:00:00.000044013,154809.0061128193,-13197.165801287822,332202.10171365674
1970-01-01 00:00:00.000044014,154618.1291531024,-36942.11603816088,337315.9137582009
1970-01-01 00:00:00.000044015,154427.25219338547,2049.599855149816,332121.59899950435
1970-01-01 00:00:00.000044016,154236.37523366854,-27251.7807146669,345396.7109618738
1970-01-01 00:00:00.000044017,154045.49827395164,-25854.6613819318,335923.70811678906
1970-01-01 00:00:00.000044018,153854.6213142347,-20291.65556047525,319934.128089334
1970-01-01 00:00:00.000044019,153663.7443545178,-36784.90420260701,334879.41529851686
1970-01-01 00:00:00.000044020,153472.86739480088,-19616.25383561658,331392.68264101597
1970-01-01 00:00:00.000044021,153281.99043508398,-22047.60840031323,331415.33091589983
1970-01-01 00:00:00.000044022,153091.11347536705,-21544.088110212448,328757.5026334079
1970-01-01 00:00:00.000044023,152900.23651565015,-29285.82813838595,340111.7908268106
1970-01-01 00:00:00.000044024,152709.35955593322,-27660.991909719345,337701.9765303186
1970-01-01 00:00:00.000044025,152518.4825962163,-19926.43673293817,329471.305115908
1970-01-01 00:00:00.000044026,152327.60563649936,-29060.62314878369,317299.6225888542
1970-01-01 00:00:00.000044027,152136.72867678246,-33170.840504973916,334199.982890663
1970-01-01 00:00:00.000044028,151945.85171706553,-30521.57943098987,317518.8695919615
1970-01-01 00:00:00.000044029,151754.97475734862,-26425.47581524884,328634.4978578365
1970-01-01 00:00:00.000044030,151564.09779763172,-24159.811516417965,326017.62866952165
1970-01-01 00:00:00.000044031,151373.2208379148,-32195.882997543977,329960.2227479595
1970-01-01 00:00:00.000044032,151182.34387819786,-36194.35254131893,336624.7583557812
1970-01-01 00:00:00.000044033,150991.46691848093,-19490.905906034033,338384.9696799662
1970-01-01 00:00:00.000044034,150800.58995876403,-24471.15489349121,331315.84326739534
1970-01-01 00:00:00.000044035,150609.71299904713,-48281.54199719513,319948.49131402833
1970-01-01 00:00:00.000044036,150418.8360393302,-28564.1340063285,329328.3084122176
1970-01-01 00:00:00.000044037,150227.95907961327,-31962.861914145225,321844.16491939174
1970-01-01 00:00:00.000044038,150037.08211989637,-29802.354266571365,334534.43550568016
1970-01-01 00:00:00.000044039,149846.20516017944,-30683.71349793662,339172.097065605
1970-01-01 00:00:00.000044040,149655.32820046254,-32340.907128529107,330338.32615240914
1970-01-01 00:00:00.000044041,149464.4512407456,-37697.60456814543,326821.8964269716
1970-01-01 00:00:00.000044042,149273.5742810287,-36177.726046051954,326543.7993583078
1970-01-01 00:00:00.000044043,149082.69732131177,-36761.18250146284,318546.2768978998
1970-01-01 00:00:00.000044044,148891.82036159484,-14239.198757323149,336074.9782875288
1970-01-01 00:00:00.000044045,148700.94340187794,-32083.622142702992,321895.7173644494
1970-01-01 00:00:00.000044046,148510.06644216104,-32861.65329729624,330497.5598908954
1970-01-01 00:00:00.000044047,148319.1894824441,-45237.883590454636,321957.1087265965
1970-01-01 00:00:00.000044048,148128.31252272718,-36150.660436893406,318872.034945819
1970-01-01 00:00:00.000044049,147937.43556301025,-46265.19237418247,329016.6497559298
1970-01-01 00:00:00.000044050,147746.55860329335,-29685.35521897455,320656.74876391137
1970-01-01 00:00:00.000044051,147555.68164357645,-26806.57426666539,320876.931595854
1970-01-01 00:00:00.000044052,147364.80468385952,-43320.45001679268,326380.6516610683
1970-01-01 00:00:00.000044053,147173.9277241426,-35461.199702492435,328266.5950200669
1970-01-01 00:00:00.000044054,146983.0507644257,-35246.48927262112,317755.64083925594
1970-01-01 00:00:00.000044055,146792.17380470876,-28529.513407285223,328584.2910268019
1970-01-01 00:00:00.000044056,146601.29684499183,-28373.403498911164,309787.4712631311
1970-01-01 00:00:00.000044057,146410.41988527493,-39672.013041438295,326856.26928617904
